"code_zone_IPRES","code_sector_IPRES","agence_IPRES","code_zone_CSS","code_sector_CSS","agence_CSS"
RUFISQUE,RUFISQUE OUEST,I_RF,RUFISQUE,RUFISQUE OUEST,C_RF
DAKAR PLATEAU,FANN POINT E AMITIE,I_PE,DAKAR PLATEAU,FANN POINT E AMITIE,C_WI
COM. ZIGUINCHOR,COM. ZIGUINCHOR,I_ZI,COM. ZIGUINCHOR,COM. ZIGUINCHOR,C_ZI
RUFISQUE,RUFISQUE EST,I_RF,RUFISQUE,RUFISQUE EST,C_RF
COM. KAOLACK,COM. KAOLACK,I_KA,COM. KAOLACK,COM. KAOLACK,C_KA
VILLE DE THIES,THIES EST,I_TH,VILLE DE THIES,THIES EST,C_TH
COM. TAMBACOUNDA,COM. TAMBACOUNDA,I_TB,COM. TAMBACOUNDA,COM. TAMBACOUNDA,C_TB
COM. GUEKOKH,COM. GUEKOKH,I_MB,COM. GUEKOKH,COM. GUEKOKH,C_MB
ALMADIES,MERMOZ SACRE COEUR,I_PE,ALMADIES,MERMOZ SACRE COEUR,C_WI
COM. KEUR MADIABEL,COM. KEUR MADIABEL,I_KA,COM. KEUR MADIABEL,COM. KEUR MADIABEL,C_KA
COM. SOKONE,COM. SOKONE,I_KA,COM. SOKONE,COM. SOKONE,C_KA
COM. OUSSOUYE,COM. OUSSOUYE,I_ZI,COM. OUSSOUYE,COM. OUSSOUYE,C_ZI
COM. KOLDA,COM. KOLDA,I_KO,COM. KOLDA,COM. KOLDA,C_KO
DAKAR PLATEAU,COLOBANE/FASS/GUEULE TAPEE,I_PE,DAKAR PLATEAU,COLOBANE/FASS/GUEULE TAPEE,C_WI
SAKAL,NGUEUNE SARR,I_LG,SAKAL,NGUEUNE SARR,C_LG
COM. AERE LAO,COM. AERE LAO,I_SL,COM. AERE LAO,COM. AERE LAO,C_SL
COM. KAFFRINE,COM. KAFFRINE,I_KA,COM. KAFFRINE,COM. KAFFRINE,C_KA
ALMADIES,MERMOZ SACRE COEUR,I_RF,ALMADIES,MERMOZ SACRE COEUR,C_RF
OGO,OGO,I_MA,OGO,OGO,C_MA
AGNAM-CIVOL,AGNAM-CIVOL,I_MA,AGNAM-CIVOL,AGNAM-CIVOL,C_MA
COM. DAHRA,COM. DAHRA,I_LG,COM. DAHRA,COM. DAHRA,C_LG
GRAND DAKAR,BISCUITERIE,I_DP,GRAND DAKAR,BISCUITERIE,C_WI
NDINDY,DANKH  SENE,I_DI,NDINDY,DANKH  SENE,C_DI
BARKEDJI,THIARGNY,I_LG,BARKEDJI,THIARGNY,C_LG
COM. SAMINE,COM. SAMINE,I_KO,COM. SAMINE,COM. SAMINE,C_KO
COM. FASS,COM. FASS,I_KA,COM. FASS,COM. FASS,C_KA
COM. NDIAGNE,COM. NDIAGNE,I_LG,COM. NDIAGNE,COM. NDIAGNE,C_LG
COM. RICHARD-TOLL,COM. RICHARD-TOLL,I_SL,COM. RICHARD-TOLL,COM. RICHARD-TOLL,C_SL
SAKAL,LEONA,I_LG,SAKAL,LEONA,C_LG
NIAGUIS,ADEANE,I_ZI,NIAGUIS,ADEANE,C_ZI
BABA GARAGE,K. SAMBA KANE,I_DI,BABA GARAGE,K. SAMBA KANE,C_DI
OUADIOUR,OUADIOUR,I_KA,OUADIOUR,OUADIOUR,C_KA
MBADAKHOUNE,MBADAKHOUNE,I_KA,MBADAKHOUNE,MBADAKHOUNE,C_KA
COLOBANE,MBAR,I_KA,COLOBANE,MBAR,C_KA
MBANE,BOKHOL,I_RT,MBANE,BOKHOL,C_RT
NDOULO,PATAR,I_DI,NDOULO,PATAR,C_DI
TENGHORY,NIAMONE,I_ZI,TENGHORY,NIAMONE,C_ZI
COM. FATICK,COM. FATICK,I_KA,COM. FATICK,COM. FATICK,C_KA
ALMADIES,OUAKAM,I_PE,ALMADIES,OUAKAM,C_VD
COM. LOUGA,COM. LOUGA,I_LG,COM. LOUGA,COM. LOUGA,C_LG
GUEDIAWAYE,GOLF SUD,I_PK,GUEDIAWAYE,GOLF SUD,C_GY
COM. GOUDIRY,COM. GOUDIRY,I_TB,COM. GOUDIRY,COM. GOUDIRY,C_TB
NIAYES,KEUR MASSAR,I_PK,NIAYES,KEUR MASSAR,C_GY
COM. SAINT LOUIS,COM. SAINT LOUIS,I_SL,COM. SAINT LOUIS,COM. SAINT LOUIS,C_SL
COM. GUINGUINEO,COM. GUINGUINEO,I_KA,COM. GUINGUINEO,COM. GUINGUINEO,C_KA
PIKINE DAGOUDANE,DALIFORD,I_PK,PIKINE DAGOUDANE,DALIFORD,C_GY
VILLE DE THIES,THIES NORD,I_TH,VILLE DE THIES,THIES NORD,C_TH
COM. BARGNY,COM. BARGNY,I_RF,COM. BARGNY,COM. BARGNY,C_RF
RUFISQUE,RUFISQUE OUEST,I_TB,RUFISQUE,RUFISQUE OUEST,C_TB
COM. SALY PORTUDAL,COM. SALY PORTUDAL,I_MB,COM. SALY PORTUDAL,COM. SALY PORTUDAL,C_MB
COM. PODOR,COM. PODOR,I_SL,COM. PODOR,COM. PODOR,C_SL
COM. RANEROU,COM. RANEROU,I_MA,COM. RANEROU,COM. RANEROU,C_MA
RUFISQUE,RUFISQUE CENTRE (NORD),I_TB,RUFISQUE,RUFISQUE CENTRE (NORD),C_TB
