"secteur_activite","taux_AT","activite_principale"
"Activités professionnelles, scientifiques et techniques","1",ASSOCIATION COMMERCIALE
"Activités professionnelles, scientifiques et techniques","3",ASSOCIATION COMMERCIALE
Construction,"5",BATIMENT-CONSTRUTION-RAVALEMENT
COMM DE GROS ET 1/2 GROS,"3",COMM DE GROS ET 1/2 GROS
ETABLISSEMENTS FINANCIERS,"1",ETABLISSEMENTS FINANCIERS
PROFESSIONS LIBERALES,"1",PROFESSIONS LIBERALES
TRAVAUX PUBLICS,"5",TRAVAUX PUBLICS
SERVICES ENTR§NETTOIEMENT,"3",SERVICES ENTR§NETTOIEMENT
BAT-CONSTRUTION-RAVALEMENT,"5",BAT-CONSTRUTION-RAVALEMENT
PROFESSIONS LIBERALES: CONSEIL - CONSULTANCE,"1",PROFESSIONS LIBERALES: CONSEIL - CONSULTANCE
INDUTRIE ALIMENT INDUST FROID,"3",INDUTRIE ALIMENT INDUST FROID
ORGANISAT.INTERNATIONALES,"1",ORGANISAT.INTERNATIONALES
CABINET D''ETUDES OU COMPTABLES,"1",CABINET D''ETUDES OU COMPTABLES
OEUVRES SOCIALES,"1",OEUVRES SOCIALES
PECHE,"3",PECHE
TRANSPORTS TERRESTRE,"5",TRANSPORTS TERRESTRE
TELECOMMUNICATIONS ET ACTIVITES ANNEXES ATTENANTES A DES BATIMENTS,"5",TELECOMMUNICATIONS ET ACTIVITES ANNEXES ATTENANTES A DES BATIMENTS
SERVICES PERSONNES,"1",SERVICES PERSONNES
COMMERCE DE DETAIL,"3",COMMERCE DE DETAIL
ADMINI-PUBLIQUE ET DEFENSE NAT,"5",ADMINI-PUBLIQUE ET DEFENSE NAT
TRANSPORTS AERIENS,"5",TRANSPORTS AERIENS
PETROLE BRUT ET GAZ NATUREL,"5",PETROLE BRUT ET GAZ NATUREL
SERVICES AUX DE TRANSPORT,"3",SERVICES AUX DE TRANSPORT
SERVICES ENTRE.NETTOY.GARDIEN.,"3",SERVICES ENTRE.NETTOY.GARDIEN.
RESTAURANTS -BARS-DEBITS,"1",RESTAURANTS -BARS-DEBITS
MANUTENTION PORTUAIRE MARITIME,"5",MANUTENTION PORTUAIRE MARITIME
ASSURANCES,"1",ASSURANCES
AGRICULTURE-ELEVAGE,"1",AGRICULTURE-ELEVAGE
ETAB SEMI-PUBLICS,"1",ETAB SEMI-PUBLICS
TRANSPORT PAR EAU,"5",TRANSPORT PAR EAU
SERVICES INFORMATIQUE,"1",SERVICES INFORMATIQUE
GARDIENNAGE,"1",GARDIENNAGE
ENSEIGNEMENTS -FORMATION-PROF,"1",ENSEIGNEMENTS -FORMATION-PROF
EXPLOITATION AUTRES MINERAIES,"5",EXPLOITATION AUTRES MINERAIES
SERVICE DOMESTQUE,"1",SERVICE DOMESTQUE
ETABLISSEMENTS FINANCIERS,"2",ETABLISSEMENTS FINANCIERS
EXPLOITATION,"5",EXPLOITATION
TRANSITAIRES,"1",TRANSITAIRES
COMMERCE DE DETAIL SANS LIVRAI,"1",COMMERCE DE DETAIL SANS LIVRAI
MINERAIS METALLIQUES,"5",MINERAIS METALLIQUES
SOCIETES D''INTERIM,"1",SOCIETES D''INTERIM
SOCIETE DE SERVICE ARTISANS,"1",SOCIETE DE SERVICE ARTISANS
ADMINI-PUBLIQUE ET DEFENSE NAT,"1",ADMINI-PUBLIQUE ET DEFENSE NAT
AGRICULTURE-ELEVAGE E,"1",AGRICULTURE-ELEVAGE E
FAB MAT PLAST (DERIV PETR/CA,"5",FAB MAT PLAST (DERIV PETR/CA
INDUST TABAC ALLUMETTE,"5",INDUST TABAC ALLUMETTE
SA01,"5",AP01
SERVICES SANITAIRES,"1",SERVICES SANITAIRES
FAB OBJETS EN PLASTIQUE,"5",FAB OBJETS EN PLASTIQUE
FAB MAT DE TRANSPORT,"3",FAB MAT DE TRANSPORT
INDUST CHIMIQUES CORPS GRAS,"3",INDUST CHIMIQUES CORPS GRAS
SERVICES MEDICAUX,"1",SERVICES MEDICAUX
HOTELS-RESTAURANTS-MEUBLES,"1",HOTELS-RESTAURANTS-MEUBLES
FAB OUVRAGES METAUX SAUF MA§MA,"5",FAB OUVRAGES METAUX SAUF MA§MA
INDUST TEXTILES,"3",INDUST TEXTILES
MECANIQUE GENERALE,"5",MECANIQUE GENERALE
INDUSTRIE,"5",INDUSTRIE
ACTIVITES ANNEXES DE L''AGRICUL,"3",ACTIVITES ANNEXES DE L''AGRICUL
collecte d ;ordures,"3",collecte d ;ordures
Activités immobilières,"1",AFFAIRES IMMOBILIERES
FABRIQUE EXPLOSIFS,"5",FABRIQUE EXPLOSIFS
SIDERURGIE(ACIER FONTE FER),"5",SIDERURGIE(ACIER FONTE FER)
AUTRES MINERAUX,"5",AUTRES MINERAUX
FAB DE FAIENCE§PORCELAINE,"3",FAB DE FAIENCE§PORCELAINE
FAB MATERIEL DE PRECISION,"3",FAB MATERIEL DE PRECISION
SOCIAL 1 %,"1",SOCIAL 1 %
BOULANGERIE PATISSERIE,"3",BOULANGERIE PATISSERIE
FAB MATERES PREM BATIMENTS,"5",FAB MATERES PREM BATIMENTS
DISTRIBUTION PUBLIQUE,"3",DISTRIBUTION PUBLIQUE
COMMERCE HYDROCARBURE STATIONS,"3",COMMERCE HYDROCARBURE STATIONS
"FAB.GAZ LIQUIFIE,SOLIDIFIE","5","FAB.GAZ LIQUIFIE,SOLIDIFIE"
FABRIQUES CHAUSSURES,"3",FABRIQUES CHAUSSURES
FABRIQUE DE BOISSON,"3",FABRIQUE DE BOISSON
SYLVICUTURE,"3",SYLVICUTURE
FAB MACH §APPAR ELECTRIQUES,"3",FAB MACH §APPAR ELECTRIQUES
IND ARTICLE CUIR PLAST FOUR CA,"3",IND ARTICLE CUIR PLAST FOUR CA
INDUST DU CAOUTCHOUC,"5",INDUST DU CAOUTCHOUC
PHARMACIE AVEC OFFICINE,"3",PHARMACIE AVEC OFFICINE
SERVICES MAL DESIGNES,"3",SERVICES MAL DESIGNES
ABATTAGE BETAIL,"3",ABATTAGE BETAIL
COMMUNICATIONS,"5",COMMUNICATIONS
IMPRIMERIE EDITION,"3",IMPRIMERIE EDITION
FABRIQUE DE PAPIER,"3",FABRIQUE DE PAPIER
ELECTRICITE GAZ,"3",ELECTRICITE GAZ
INDUTRIES DU FROID,"3",INDUTRIES DU FROID
AGENCES DE GARDIENNAGE,"1",AGENCES DE GARDIENNAGE
"GARDIENNAGE INTERIM, COMMERCE, SECURITE","3","GARDIENNAGE INTERIM, COMMERCE, SECURITE"
TELE-SERVICES,"1",TELE-SERVICES
ACTIVITES MAL DESIGNEES,"5",ACTIVITES MAL DESIGNEES
AGENCE DE VOYAGE ET TOURISME,"1",AGENCE DE VOYAGE ET TOURISME
FABRIQUE ARTICLES HABILLEMENT,"3",FABRIQUE ARTICLES HABILLEMENT
INDUSTRIES ALIMENTAIRES,"3",INDUSTRIES ALIMENTAIRES
SERVICES FOURNIS AUX ENTREPRISES,"1",SERVICES FOURNIS AUX ENTREPRISES
LOCATIONS DE MACHINES ET MATER,"1",LOCATIONS DE MACHINES ET MATER
TELECOMMUNICATIONS,"5",TELECOMMUNICATIONS
FILMS RECREATIFS,"1",FILMS RECREATIFS
INDUST DE MEUBLES(EN BOIS),"3",INDUST DE MEUBLES(EN BOIS)
SOCIETE DE SERVICES,"1",SOCIETE DE SERVICES
"INSERTIONS PUBLICITAIRES, COMMUNICATIONS, PUBLICATIONS ET ACTIVITES ANNEXES","3","INSERTIONS PUBLICITAIRES, COMMUNICATIONS, PUBLICATIONS ET ACTIVITES ANNEXES"
INDUSTR BOIS,"3",INDUSTR BOIS
Administration publique et défense,"1",ADMINISTRATION PUBLIQUE ET DEFENSE NAT
