id;numero_unique_salarie;numero_unique_employeur;raison_sociale;type_regime;type_declaration;debut_cotisation;fin_cotisation;exercice;salaire_brute;salaire_assujettie;cotisation_ipres;cotisation_css;extra_infos;created_at
1;Aruba connect Security;intermediate Garden Locks;invoice vertical;Cotton USB plum;expedite multi-byte Maine;2022-02-22;2022-02-22;74766;75881;23196;76018;51057;../fake-data/blob/hipster.txt;2022-02-22T12:58:50
2;Planner program;Route;initiatives attitude;Frozen e-tailers Avon;unleash;2022-02-21;2022-02-21;8827;35873;65976;4321;55659;../fake-data/blob/hipster.txt;2022-02-21T21:24:01
3;Beauty;Agent wireless Sports;USB Cross-group;sensor connecting;Kiribati calculate;2022-02-22;2022-02-22;36796;54739;21659;46524;84350;../fake-data/blob/hipster.txt;2022-02-22T15:41:23
4;Cross-platform;Cheese Organized;Northern Mariana Islands National;Intelligent cyan indigo;Fiji Dollar Engineer;2022-02-22;2022-02-21;16810;8387;12761;98148;94669;../fake-data/blob/hipster.txt;2022-02-22T07:45:14
5;compress;one-to-one coherent Money Market Account;deploy;parse Plastic;Group synergize;2022-02-21;2022-02-22;45337;51348;45176;58720;68150;../fake-data/blob/hipster.txt;2022-02-22T08:33:16
6;Viaduct Checking Account Soft;mobile Investment Account hacking;disintermediate;CFP Franc;indigo Avon;2022-02-22;2022-02-22;69539;4504;57685;28798;37828;../fake-data/blob/hipster.txt;2022-02-22T00:58:04
7;models;Fiji Dollar Right-sized interactive;Mobility markets;North Dakota Trace;Branding Usability mobile;2022-02-22;2022-02-22;56007;91104;59501;3057;85840;../fake-data/blob/hipster.txt;2022-02-21T15:43:17
8;functionalities Movies;Shoes programming;Democratic People's Republic of Korea Licensed Metal Pizza scale;Administrator Expanded Streamlined;Direct Tasty Handcrafted;2022-02-22;2022-02-22;87991;36201;82445;17963;46730;../fake-data/blob/hipster.txt;2022-02-22T09:17:52
9;parse Heights;Administrator Cloned;Berkshire intranet Legacy;Small Wooden Pants;generate Saint Kitts and Nevis;2022-02-21;2022-02-21;60999;97843;33935;55588;1388;../fake-data/blob/hipster.txt;2022-02-21T20:34:55
10;Georgia Administrator;Iranian Rial Wooden;client-driven distributed;cross-platform;compressing Dynamic;2022-02-22;2022-02-22;65441;88890;67996;42735;25691;../fake-data/blob/hipster.txt;2022-02-22T02:22:08
