id;groupe;emails;active;last_send_date
1;Officer;../fake-data/blob/hipster.txt;true;2021-11-07T21:09:07
2;Investment Account bypassing Berkshire;../fake-data/blob/hipster.txt;true;2021-11-07T10:59:14
3;Macedonia Sleek;../fake-data/blob/hipster.txt;false;2021-11-07T09:01:05
4;Maine;../fake-data/blob/hipster.txt;false;2021-11-07T21:26:58
5;Kuwait policy override;../fake-data/blob/hipster.txt;false;2021-11-08T00:40:21
6;navigating auxiliary Horizontal;../fake-data/blob/hipster.txt;false;2021-11-08T00:19:17
7;high-level;../fake-data/blob/hipster.txt;true;2021-11-07T13:32:54
8;web-enabled collaboration;../fake-data/blob/hipster.txt;true;2021-11-07T12:55:06
9;Michigan Ergonomic Rubber Ball;../fake-data/blob/hipster.txt;true;2021-11-07T23:26:52
10;neural Investment Account Ergonomic Rubber Shirt;../fake-data/blob/hipster.txt;true;2021-11-07T13:39:35
