id;numero_facture;type_facture;date_echeance;date_debut;date_fin;raison_sociale;status;numero_unique;detteinput;montant_verse;penalite;montant_paye;dette;montant_total;majorations;montant_principal
1;FTP PNG CSS;Practical Investment Account;Directives hack tertiary;Connecticut;wireless;salmon Checking Account;Georgia;PCI;62341;1367;34946;75100;63453;783;33153;37257
2;communities Unbranded functionalities;New Mexico;analyzing Auto Loan Account;bandwidth Self-enabling Oregon;deposit;Auto Loan Account bypass;Developer Directives;facilitate Comoro Franc;44571;76488;90839;10602;9380;12796;12619;29313
3;index Tactics Station;intuitive;withdrawal;pixel;white;CSS;Engineer lime;Alabama Rubber clear-thinking;80230;35644;3514;76730;50924;82473;9335;7519
4;circuit synergies;Botswana;Massachusetts Steel Ball;Games Licensed;circuit Road;plum initiative;Intelligent Steel Pizza HDD;International;23067;50091;59513;77030;56977;76807;42803;74652
5;Buckinghamshire models withdrawal;robust;Vanuatu;SDD;Pizza frictionless Cotton;white expedite Cotton;enhance haptic Massachusetts;Paradigm bleeding-edge;777;65160;59709;9274;94109;34712;80210;50804
6;Executive;Auto Loan Account Incredible;program Summit;Rubber;grey Planner;Facilitator Small Bedfordshire;Gorgeous Soft Soap Legacy;Handcrafted Bedfordshire didactic;28866;56142;47022;82307;85868;96743;92178;7682
7;Chips neural Handmade Metal Bacon;Connecticut;Bedfordshire;Generic Granite Chicken niches Jewelery;Designer Minnesota;salmon Greece Pizza;technologies aggregate;Liaison Ergonomic Wooden Computer engage;44505;89702;67588;65139;44581;26107;94064;5041
8;ADP implement;Connecticut;mindshare back up Shoes;morph;emulation;quantify Incredible;Cambridgeshire Armenian Dram card;Games;76671;38529;62777;62663;36144;59476;69232;60717
9;teal;Avon Malawi infrastructures;navigating Jewelery digital;firewall USB niches;Legacy;payment SQL;Automated;Small e-services invoice;52458;39133;36176;23018;22043;72997;13437;89518
10;Senior;Cambridgeshire Mississippi;unleash;Buckinghamshire quantifying Personal Loan Account;application ivory time-frame;Practical Garden;sensor;Right-sized navigating;70675;37636;19493;61455;78707;15154;87452;62977
