id;old_path;new_path;id_old;numero_unique;date
1;input;Bangladesh Metal Personal Loan Account;90599;Tuna Agent;2022-09-06T10:57:38
2;Investor monitoring methodology;Versatile Money Market Account Unbranded;78881;Malaysian Ringgit Swaziland bypassing;2022-09-07T08:56:39
3;Associate;Self-enabling bypass backing up;16772;synthesize;2022-09-06T16:02:02
4;North Carolina white;structure;48805;Orchestrator;2022-09-07T06:16:40
5;Associate;Sierra Leone Sleek Plastic Table;18282;Awesome Clothing;2022-09-07T08:45:49
6;Table red;Hat Plastic;40162;Unbranded Steel Mouse 24/7;2022-09-06T14:56:42
7;recontextualize;Crescent SQL;47115;engineer;2022-09-07T04:05:07
8;redundant Pines;invoice bandwidth;57849;Democratic People's Republic of Korea e-markets technologies;2022-09-07T06:11:15
9;Rubber input Customer;communities input;48956;bypassing;2022-09-07T08:37:57
10;Data Checking Account;markets;67516;Multi-tiered;2022-09-07T07:22:53
