id;numdoc;statusdoc;payload;user;is_submited;ninea
1;Awesome Wooden Pizza visionary Borders;feed;dynamic Tasty Metal Bike capacity;1715;false;cross-platform instruction set TCP
2;Manager bluetooth Identity;Tuna copying Landing;indexing Saint Martin;1908;true;Plastic content Democratic People's Republic of Korea
3;Face to face executive leverage;bottom-line Turnpike infomediaries;Checking Account;61321;false;Bahraini Dinar enable Arkansas
4;Ergonomic;Netherlands Port;Lek productivity;75011;true;Sleek Plastic Pants Intelligent Wooden Chicken
5;input task-force explicit;Functionality Grocery Iowa;Licensed Plastic Mouse Borders card;59842;true;Concrete methodology Forint
6;Pre-emptive;PNG;Mobility hard drive channels;37167;true;Refined Soft Bike viral Home Loan Account
7;enterprise;deposit compress Uganda Shilling;Cape Verde Escudo Unbranded transmitting;454;true;Quality
8;optical;infrastructures;revolutionize;56719;true;Brazilian Real
9;Georgia;Accounts purple SCSI;deposit Wooden;47835;true;Specialist Hat
10;Norwegian Krone orchestration attitude-oriented;frictionless reboot;Borders Indian Rupee Ngultrum protocol;18730;true;time-frame bypassing Hat
